YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,INSTRUCTION_EXPENDITURE,TOTAL_REV_PER_STUDENT,INSTRUCTION_EXPENDITURE_PER_STUDENT
2015,Mississippi,270.5804793,Mathematics,8,490189.0,4592343,2350872,9368.52,4795.85
2015,Mississippi,214.1106869,Reading,4,490189.0,4592343,2350872,9368.52,4795.85
2015,Mississippi,251.97616519999997,Reading,8,490189.0,4592343,2350872,9368.52,4795.85
2015,Missouri,238.9649225,Mathematics,4,892779.0,10623391,5387766,11899.24,6034.83
2015,Missouri,280.82142569999996,Mathematics,8,892779.0,10623391,5387766,11899.24,6034.83
2015,Missouri,222.7255168,Reading,4,892779.0,10623391,5387766,11899.24,6034.83
2015,Missouri,266.8763518,Reading,8,892779.0,10623391,5387766,11899.24,6034.83
2015,Montana,241.2870483,Mathematics,4,144447.0,1804339,940488,12491.36,6510.96
2015,Montana,287.46400550000004,Mathematics,8,144447.0,1804339,940488,12491.36,6510.96
2015,Montana,224.7573935,Reading,4,144447.0,1804339,940488,12491.36,6510.96
2015,Montana,269.9567776,Reading,8,144447.0,1804339,940488,12491.36,6510.96
2015,Nebraska,243.86366690000003,Mathematics,4,312281.0,4248695,2446701,13605.36,7834.93
2015,Nebraska,286.4985635,Mathematics,8,312281.0,4248695,2446701,13605.36,7834.93
2015,Nebraska,226.6346109,Reading,4,312281.0,4248695,2446701,13605.36,7834.93
2015,Nebraska,269.42621089999994,Reading,8,312281.0,4248695,2446701,13605.36,7834.93
2015,Nevada,233.8270162,Mathematics,4,438948.0,4345419,2170424,9899.62,4944.6
2015,Nevada,275.1718688,Mathematics,8,438948.0,4345419,2170424,9899.62,4944.6
2015,Nevada,214.4255845,Reading,4,438948.0,4345419,2170424,9899.62,4944.6
2015,Nevada,259.4173764,Reading,8,438948.0,4345419,2170424,9899.62,4944.6
2015,New Hampshire,249.1506214,Mathematics,4,183039.0,3093061,1697165,16898.37,9272.15
2015,New Hampshire,294.4130187,Mathematics,8,183039.0,3093061,1697165,16898.37,9272.15
2015,New Hampshire,231.94984759999997,Reading,4,183039.0,3093061,1697165,16898.37,9272.15
2015,New Hampshire,274.8067463,Reading,8,183039.0,3093061,1697165,16898.37,9272.15
2015,New Jersey,245.3832201,Mathematics,4,1339230.0,29335237,15339450,21904.55,11453.93
2015,New Jersey,293.36593819999996,Mathematics,8,1339230.0,29335237,15339450,21904.55,11453.93
2015,New Jersey,229.4876744,Reading,4,1339230.0,29335237,15339450,21904.55,11453.93
2015,New Jersey,270.85371150000003,Reading,8,1339230.0,29335237,15339450,21904.55,11453.93
2015,New Mexico,231.16723599999997,Mathematics,4,326297.0,3789651,1773801,11614.12,5436.15
2015,New Mexico,270.8975344,Mathematics,8,326297.0,3789651,1773801,11614.12,5436.15
2015,New Mexico,207.24044640000002,Reading,4,326297.0,3789651,1773801,11614.12,5436.15
2015,New Mexico,253.2277676,Reading,8,326297.0,3789651,1773801,11614.12,5436.15
2015,New York,236.796927,Mathematics,4,2631532.0,63712218,41954260,24211.07,15942.9
2015,New York,280.08922010000003,Mathematics,8,2631532.0,63712218,41954260,24211.07,15942.9
2015,New York,222.64630319999998,Reading,4,2631532.0,63712218,41954260,24211.07,15942.9
2015,New York,263.2476586,Reading,8,2631532.0,63712218,41954260,24211.07,15942.9
2015,North Carolina,243.7422668,Mathematics,4,1465031.0,13146934,7960222,8973.83,5433.48
2015,North Carolina,281.33109110000004,Mathematics,8,1465031.0,13146934,7960222,8973.83,5433.48
2015,North Carolina,225.8105909,Reading,4,1465031.0,13146934,7960222,8973.83,5433.48
2015,North Carolina,260.59455660000003,Reading,8,1465031.0,13146934,7960222,8973.83,5433.48
2015,North Dakota,244.7138306,Mathematics,4,106061.0,1644533,825445,15505.54,7782.74
2015,North Dakota,288.2441472,Mathematics,8,106061.0,1644533,825445,15505.54,7782.74
2015,North Dakota,224.6919844,Reading,4,106061.0,1644533,825445,15505.54,7782.74
2015,North Dakota,266.955323,Reading,8,106061.0,1644533,825445,15505.54,7782.74
2015,Ohio,243.5985912,Mathematics,4,1600222.0,24378660,11620080,15234.55,7261.54
2015,Ohio,285.06195510000003,Mathematics,8,1600222.0,24378660,11620080,15234.55,7261.54
2015,Ohio,224.93041969999996,Reading,4,1600222.0,24378660,11620080,15234.55,7261.54
2015,Ohio,265.87922030000004,Reading,8,1600222.0,24378660,11620080,15234.55,7261.54
2015,Oklahoma,239.76048140000003,Mathematics,4,671715.0,6121188,3000894,9112.78,4467.51
2015,Oklahoma,274.5859821,Mathematics,8,671715.0,6121188,3000894,9112.78,4467.51
2015,Oklahoma,221.83051009999997,Reading,4,671715.0,6121188,3000894,9112.78,4467.51
2015,Oklahoma,262.6731459,Reading,8,671715.0,6121188,3000894,9112.78,4467.51
2015,Oregon,237.74670890000002,Mathematics,4,570376.0,7111710,3650855,12468.46,6400.79
2015,Oregon,282.8148994,Mathematics,8,570376.0,7111710,3650855,12468.46,6400.79
2015,Oregon,220.22272,Reading,4,570376.0,7111710,3650855,12468.46,6400.79
2015,Oregon,267.67051969999994,Reading,8,570376.0,7111710,3650855,12468.46,6400.79
2015,Pennsylvania,243.3122399,Mathematics,4,1589429.0,29967185,16058338,18854.06,10103.21
2015,Pennsylvania,283.66841539999996,Mathematics,8,1589429.0,29967185,16058338,18854.06,10103.21
2015,Pennsylvania,226.6707741,Reading,4,1589429.0,29967185,16058338,18854.06,10103.21
2015,Pennsylvania,268.7461208,Reading,8,1589429.0,29967185,16058338,18854.06,10103.21
2015,Rhode Island,238.00172969999997,Mathematics,4,134574.0,2367068,1322055,17589.34,9824.0
2015,Rhode Island,281.44521960000003,Mathematics,8,134574.0,2367068,1322055,17589.34,9824.0
2015,Rhode Island,225.4855367,Reading,4,134574.0,2367068,1322055,17589.34,9824.0
2015,Rhode Island,265.0508578,Reading,8,134574.0,2367068,1322055,17589.34,9824.0
2015,South Carolina,237.08957149999998,Mathematics,4,737401.0,8759944,4123140,11879.48,5591.45
2015,South Carolina,275.8278662,Mathematics,8,737401.0,8759944,4123140,11879.48,5591.45
2015,South Carolina,217.96967650000002,Reading,4,737401.0,8759944,4123140,11879.48,5591.45
2015,South Carolina,260.3314228,Reading,8,737401.0,8759944,4123140,11879.48,5591.45
2015,South Dakota,239.7230949,Mathematics,4,132836.0,1415149,709363,10653.35,5340.14
2015,South Dakota,284.6414057,Mathematics,8,132836.0,1415149,709363,10653.35,5340.14
2015,South Dakota,220.46952459999997,Reading,4,132836.0,1415149,709363,10653.35,5340.14
2015,South Dakota,267.079865,Reading,8,132836.0,1415149,709363,10653.35,5340.14
2015,Tennessee,240.6673957,Mathematics,4,994530.0,9455920,5343272,9507.93,5372.66
2015,Tennessee,278.2033807,Mathematics,8,994530.0,9455920,5343272,9507.93,5372.66
2015,Tennessee,218.6132644,Reading,4,994530.0,9455920,5343272,9507.93,5372.66
2015,Tennessee,264.771229,Reading,8,994530.0,9455920,5343272,9507.93,5372.66
2015,Texas,244.002472,Mathematics,4,5004866.0,55582029,26745844,11105.6,5343.97
2015,Texas,283.7935403,Mathematics,8,5004866.0,55582029,26745844,11105.6,5343.97
2015,Texas,217.94291299999998,Reading,4,5004866.0,55582029,26745844,11105.6,5343.97
2015,Texas,260.65513599999997,Reading,8,5004866.0,55582029,26745844,11105.6,5343.97
2015,Utah,242.56278709999998,Mathematics,4,573913.0,4705084,2367650,8198.25,4125.45
2015,Utah,286.11691119999995,Mathematics,8,573913.0,4705084,2367650,8198.25,4125.45
2015,Utah,226.1430749,Reading,4,573913.0,4705084,2367650,8198.25,4125.45
2015,Utah,269.43066469999997,Reading,8,573913.0,4705084,2367650,8198.25,4125.45
2015,Vermont,243.2503992,Mathematics,4,85184.0,1996795,983532,23440.96,11545.97
