YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,INSTRUCTION_EXPENDITURE,TOTAL_REV_PER_STUDENT,INSTRUCTION_EXPENDITURE_PER_STUDENT
2011,Alabama,269.0965158,Mathematics,8,746933.0,7376725,3844055,9876.02,5146.45
2011,Alaska,283.2727979,Mathematics,8,131704.0,2357828,1215062,17902.48,9225.7
2011,Arizona,279.0335017,Mathematics,8,946571.0,8429186,3977772,8904.97,4202.3
2011,Arkansas,279.088205,Mathematics,8,475551.0,5176362,2559292,10884.98,5381.74
2011,California,272.7698031,Mathematics,8,6202604.0,70953331,34225248,11439.28,5517.88
2011,Colorado,291.7426729,Mathematics,8,834832.0,8747471,4204486,10478.12,5036.33
2011,Connecticut,286.9999447,Mathematics,8,530132.0,9783168,5363942,18454.21,10118.13
2011,Delaware,282.7699664,Mathematics,8,119878.0,1759170,964284,14674.67,8043.88
2011,District of Columbia,260.4668778,Mathematics,8,44199.0,1283071,525185,29029.41,11882.28
2011,Florida,277.8370352,Mathematics,8,2636404.0,26453693,14284224,10034.01,5418.07
2011,Georgia,278.4836192,Mathematics,8,1666039.0,18030043,9671343,10822.1,5804.99
2011,Hawaii,277.8362111,Mathematics,8,179601.0,2499513,1253534,13917.03,6979.55
2011,Idaho,286.6750633,Mathematics,8,265713.0,2089982,1104553,7865.56,4156.94
2011,Illinois,283.2281347,Mathematics,8,2072114.0,29507584,14636402,14240.33,7063.51
2011,Indiana,285.0029161,Mathematics,8,1023220.0,12125155,5609296,11850.0,5482.0
2011,Iowa,284.9208361,Mathematics,8,493493.0,6098470,2995991,12357.76,6070.99
2011,Kansas,289.6192827,Mathematics,8,482692.0,5538869,2839803,11474.96,5883.26
2011,Kentucky,281.6088097,Mathematics,8,672958.0,7104589,3663998,10557.25,5444.62
2011,Louisiana,272.8433339,Mathematics,8,665109.0,8022917,4162557,12062.56,6258.46
2011,Maine,288.7322976,Mathematics,8,186835.0,2654366,1431522,14207.01,7661.96
2011,Maryland,287.9978023,Mathematics,8,851971.0,13443940,7205515,15779.81,8457.47
2011,Massachusetts,298.5124311,Mathematics,8,924903.0,15396681,8685894,16646.81,9391.14
2011,Michigan,280.176518,Mathematics,8,1455966.0,19374026,9198775,13306.65,6317.99
2011,Minnesota,294.9464228,Mathematics,8,798891.0,10912368,5644771,13659.4,7065.76
2011,Mississippi,269.2356456,Mathematics,8,490526.0,4516742,2238165,9207.96,4562.79
2011,Missouri,281.9476462,Mathematics,8,896702.0,9915356,5100879,11057.58,5688.49
2011,Montana,292.9078043,Mathematics,8,141529.0,1631810,902615,11529.86,6377.6
2011,Nebraska,283.1970448,Mathematics,8,297659.0,3879388,2101943,13032.99,7061.58
2011,Nevada,278.1131537,Mathematics,8,429610.0,4146577,2161550,9651.96,5031.42
2011,New Hampshire,292.1087397,Mathematics,8,189275.0,2947007,1654129,15569.97,8739.29
2011,New Jersey,294.1387714,Mathematics,8,1399409.0,26242376,14113108,18752.47,10085.05
2011,New Mexico,274.4547015,Mathematics,8,331373.0,3591330,1744548,10837.73,5264.61
2011,New York,280.4530261,Mathematics,8,2677412.0,57753776,37834196,21570.75,14130.88
2011,North Carolina,286.2670282,Mathematics,8,1448117.0,14409515,7566249,9950.52,5224.89
2011,North Dakota,291.9984045,Mathematics,8,96255.0,1309044,660944,13599.75,6866.59
2011,Ohio,288.6025968,Mathematics,8,1655534.0,23488657,11074360,14187.96,6689.3
2011,Oklahoma,279.1796082,Mathematics,8,658163.0,5835133,2866601,8865.79,4355.46
2011,Oregon,282.5182068,Mathematics,8,559631.0,6112484,3261190,10922.35,5827.39
2011,Pennsylvania,286.1027417,Mathematics,8,1670854.0,28492510,13761915,17052.66,8236.46
2011,Rhode Island,282.8756596,Mathematics,8,139157.0,2212352,1260021,15898.24,9054.67
2011,South Carolina,281.0001337,Mathematics,8,713511.0,7772777,3689782,10893.7,5171.3
2011,South Dakota,290.6151968,Mathematics,8,125613.0,1297661,661519,10330.63,5266.33
2011,Tennessee,274.0387103,Mathematics,8,986382.0,8679893,4947165,8799.73,5015.47
2011,Texas,290.3467094,Mathematics,8,4800196.0,51023159,25155007,10629.39,5240.41
2011,Utah,283.3083321,Mathematics,8,545395.0,4141253,2157337,7593.13,3955.55
2011,Vermont,293.8825771,Mathematics,8,86982.0,1686499,888388,19389.06,10213.47
2011,Virginia,289.2554112,Mathematics,8,1250852.0,14655345,7861076,11716.29,6284.58
2011,Washington,288.1077619,Mathematics,8,1042979.0,11905941,6007184,11415.32,5759.64
2011,West Virginia,273.2631731,Mathematics,8,282130.0,3475642,2010407,12319.29,7125.82
2011,Wisconsin,288.6659327,Mathematics,8,864251.0,11664303,6138402,13496.43,7102.57
2011,Wyoming,287.767926,Mathematics,8,88165.0,1650621,825783,18721.95,9366.34
2009,Alabama,268.5241203,Mathematics,8,745668.0,7186390,3836398,9637.52,5144.91
2009,Alaska,283.0476628,Mathematics,8,130236.0,2158970,1129756,16577.37,8674.68
2009,Arizona,277.332282,Mathematics,8,981303.0,8802515,4296503,8970.23,4378.37
2009,Arkansas,275.9995,Mathematics,8,474423.0,4753142,2417974,10018.78,5096.66
2009,California,270.4485881,Mathematics,8,6234155.0,73958896,35617964,11863.5,5713.36
2009,Colorado,287.3729075,Mathematics,8,812068.0,8310673,4108304,10233.96,5059.06
2009,Connecticut,288.6085135,Mathematics,8,539250.0,9681268,5054397,17953.21,9373.01
2009,Delaware,283.829473,Mathematics,8,116804.0,1718993,877678,14716.9,7514.11
2009,District of Columbia,253.5951869,Mathematics,8,44331.0,801008,330698,18068.8,7459.75
2009,Florida,279.3352641,Mathematics,8,2623067.0,26494500,13884278,10100.58,5293.15
2009,Georgia,277.5611997,Mathematics,8,1649598.0,17972839,10063924,10895.28,6100.83
2009,Hawaii,273.7586067,Mathematics,8,179478.0,2689758,1402305,14986.56,7813.24
2009,Idaho,287.3052151,Mathematics,8,267951.0,2182273,1157633,8144.3,4320.32
2009,Illinois,282.431417,Mathematics,8,2117291.0,26987426,13520105,12746.21,6385.57
2009,Indiana,286.8099779,Mathematics,8,1028259.0,12999357,5548292,12642.1,5395.81
2009,Iowa,284.1701786,Mathematics,8,487559.0,5732319,2914176,11757.18,5977.07
2009,Kansas,288.596403,Mathematics,8,470445.0,5615208,2883104,11935.95,6128.46
2009,Kentucky,279.2842161,Mathematics,8,669858.0,6706922,3468191,10012.45,5177.5
2009,Louisiana,272.3799067,Mathematics,8,662774.0,7984550,4051985,12047.17,6113.68
2009,Maine,286.3614259,Mathematics,8,187372.0,2623127,1383650,13999.57,7384.51
2009,Maryland,288.3415653,Mathematics,8,843781.0,13147931,6899346,15582.16,8176.7
2009,Massachusetts,298.8543466,Mathematics,8,932437.0,15298022,8885949,16406.49,9529.81
2009,Michigan,278.2681682,Mathematics,8,1537515.0,19616665,9422685,12758.68,6128.52
2009,Minnesota,294.4433201,Mathematics,8,800831.0,10353784,5815987,12928.8,7262.44
2009,Mississippi,265.0019582,Mathematics,8,491194.0,4392101,2317710,8941.68,4718.52
2009,Missouri,285.8080019,Mathematics,8,893807.0,9472520,5175127,10597.95,5789.98
2009,Montana,291.5429429,Mathematics,8,141782.0,1607935,855803,11340.9,6036.05
2009,Nebraska,284.2590935,Mathematics,8,292161.0,3522481,1887427,12056.64,6460.23
2009,Nevada,274.1485417,Mathematics,8,430985.0,4442101,2145779,10306.86,4978.78
2009,New Hampshire,292.3218172,Mathematics,8,197024.0,2816162,1546316,14293.5,7848.36
2009,New Jersey,292.6572271,Mathematics,8,1354912.0,26510413,13800343,19566.15,10185.42
2009,New Mexico,269.7042538,Mathematics,8,328737.0,3703477,1807514,11265.77,5498.36
2009,New York,282.5769154,Mathematics,8,2696688.0,55885116,35195372,20723.61,13051.33
2009,North Carolina,284.3326353,Mathematics,8,1452064.0,15410564,7943541,10612.87,5470.52
2009,North Dakota,292.8424885,Mathematics,8,94653.0,1150142,579830,12151.14,6125.85
2009,Ohio,285.5830138,Mathematics,8,1729072.0,22779344,10734314,13174.32,6208.14
2009,Oklahoma,275.7119568,Mathematics,8,644549.0,6029807,2836912,9355.08,4401.39
2009,Oregon,285.0368144,Mathematics,8,560726.0,6158756,3291310,10983.54,5869.73
2009,Pennsylvania,288.3041689,Mathematics,8,1687145.0,26755585,12803821,15858.5,7589.05
2009,Rhode Island,277.9237194,Mathematics,8,141521.0,2179714,1224158,15402.05,8650.01
2009,South Carolina,280.3808554,Mathematics,8,714290.0,7669733,3854229,10737.56,5395.89
2009,South Dakota,290.6191277,Mathematics,8,126624.0,1258876,645912,9941.84,5101.02
2009,Tennessee,274.7618211,Mathematics,8,971484.0,8112895,4809809,8351.03,4950.99
2009,Texas,286.6850767,Mathematics,8,4647205.0,48087531,23895853,10347.62,5141.98
2009,Utah,284.0682519,Mathematics,8,532433.0,4238943,2169434,7961.46,4074.57
2009,Vermont,292.8660964,Mathematics,8,86320.0,1683034,859433,19497.61,9956.36
2009,Virginia,286.069755,Mathematics,8,1235064.0,15251481,8194237,12348.74,6634.67
2009,Washington,288.7223756,Mathematics,8,1035907.0,12025012,5984072,11608.2,5776.65
2009,West Virginia,270.4157659,Mathematics,8,281908.0,3097212,1759397,10986.61,6241.03
2009,Wisconsin,288.1407262,Mathematics,8,867035.0,10991081,5857285,12676.63,6755.53
2009,Wyoming,286.104034,Mathematics,8,86971.0,1675761,744877,19268.04,8564.66
2007,Alabama,266.0001099,Mathematics,8,743273.0,7069040,3653466,9510.69,4915.38
2007,Alaska,282.5571541,Mathematics,8,132197.0,1800616,927307,13620.7,7014.58
2007,Arizona,275.5484264,Mathematics,8,969875.0,8724434,3977800,8995.42,4101.35
2007,Arkansas,273.8998622,Mathematics,8,474532.0,4415981,2337748,9305.97,4926.43
2007,California,270.381784,Mathematics,8,6288686.0,72516936,34685013,11531.33,5515.46
2007,Colorado,286.1927562,Mathematics,8,790211.0,7689014,3782300,9730.33,4786.44
2007,Connecticut,282.4727901,Mathematics,8,549230.0,8913149,4610572,16228.45,8394.61
2007,Delaware,282.9920827,Mathematics,8,114678.0,1694929,825084,14779.9,7194.79
2007,District of Columbia,248.1987424,Mathematics,8,56943.0,1148358,491992,20166.8,8640.08
2007,Florida,277.3834973,Mathematics,8,2656176.0,28898362,13476109,10879.69,5073.5
2007,Georgia,274.7786646,Mathematics,8,1628409.0,17755989,9507096,10903.89,5838.27
2007,Hawaii,268.7720134,Mathematics,8,180728.0,2985593,1177781,16519.81,6516.87
2007,Idaho,283.5075958,Mathematics,8,262935.0,2011951,1069134,7651.89,4066.15
2007,Illinois,280.497096,Mathematics,8,2101075.0,23897153,11692204,11373.77,5564.87
2007,Indiana,285.0072109,Mathematics,8,1034588.0,10458932,5511104,10109.27,5326.86
2007,Iowa,285.2269031,Mathematics,8,483122.0,5194536,2557629,10752.02,5293.96
